category,name,dataType,externalAccess,source,description,initialValue,drawingMapping
"One-shot","OSR_CAP1_ClosedEdge","BOOL","None","","Dedicated ONS storage for CAP-1 proven operation count.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CAP1_Discharge","TIMER","Read Only","","Independent discharge wait; PRE from approved bank/key document.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_CAP1_Operations","COUNTER","Read Only","","Counts proven CAP-1 52a rising edges.","","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP2_ClosePerm","BOOL","Read Only","","Independent CAP-2 close permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP2_KeyAtBreaker","BOOL","Read Only","","Conditioned K2 key-at-breaker state.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP2_NoCurrentProof","BOOL","Read Only","","Valid only when bank 2 is selected and analog quality is good.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP2_ReleasePermitted","BOOL","Read Only","","Supplemental indication after open/no-current/discharge proofs.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP2_BlockCode","DINT","Read Only","","First/priority close block reason for HMI faceplate.","0","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP2_Close","BOOL","Read/Write","","Momentary CAP-2 close request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP2_Open","BOOL","Read/Write","","Momentary CAP-2 open request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_K2Release","BOOL","Read/Write","","K2 release-sequence request; supplemental PLC supervision only.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP2_CloseReq","BOOL","None","","Dedicated ONS storage for CAP-2 close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP2_ClosedEdge","BOOL","None","","Dedicated ONS storage for CAP-2 proven operation count.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CAP2_Discharge","TIMER","Read Only","","Independent discharge wait; PRE from approved bank/key document.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_CAP2_Operations","COUNTER","Read Only","","Counts proven CAP-2 52a rising edges.","","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP3_ClosePerm","BOOL","Read Only","","Independent CAP-3 close permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP3_KeyAtBreaker","BOOL","Read Only","","Conditioned K3 key-at-breaker state.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP3_NoCurrentProof","BOOL","Read Only","","Valid only when bank 3 is selected and analog quality is good.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP3_ReleasePermitted","BOOL","Read Only","","Supplemental indication after open/no-current/discharge proofs.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP3_BlockCode","DINT","Read Only","","First/priority close block reason for HMI faceplate.","0","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP3_Close","BOOL","Read/Write","","Momentary CAP-3 close request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP3_Open","BOOL","Read/Write","","Momentary CAP-3 open request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_K3Release","BOOL","Read/Write","","K3 release-sequence request; supplemental PLC supervision only.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP3_CloseReq","BOOL","None","","Dedicated ONS storage for CAP-3 close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP3_ClosedEdge","BOOL","None","","Dedicated ONS storage for CAP-3 proven operation count.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CAP3_Discharge","TIMER","Read Only","","Independent discharge wait; PRE from approved bank/key document.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_CAP3_Operations","COUNTER","Read Only","","Counts proven CAP-3 52a rising edges.","","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP4_ClosePerm","BOOL","Read Only","","Independent CAP-4 close permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP4_KeyAtBreaker","BOOL","Read Only","","Conditioned K4 key-at-breaker state.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP4_NoCurrentProof","BOOL","Read Only","","Valid only when bank 4 is selected and analog quality is good.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP4_ReleasePermitted","BOOL","Read Only","","Supplemental indication after open/no-current/discharge proofs.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP4_BlockCode","DINT","Read Only","","First/priority close block reason for HMI faceplate.","0","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP4_Close","BOOL","Read/Write","","Momentary CAP-4 close request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP4_Open","BOOL","Read/Write","","Momentary CAP-4 open request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_K4Release","BOOL","Read/Write","","K4 release-sequence request; supplemental PLC supervision only.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP4_CloseReq","BOOL","None","","Dedicated ONS storage for CAP-4 close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP4_ClosedEdge","BOOL","None","","Dedicated ONS storage for CAP-4 proven operation count.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CAP4_Discharge","TIMER","Read Only","","Independent discharge wait; PRE from approved bank/key document.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_CAP4_Operations","COUNTER","Read Only","","Counts proven CAP-4 52a rising edges.","","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CBMain_CloseReq","BOOL","None","","Dedicated ONS storage for main close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CBMain_ClosedEdge","BOOL","None","","Dedicated ONS storage for main proven operation count.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_86Reset","BOOL","None","","Dedicated ONS storage for lockout reset request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_TripCapture","BOOL","None","","Dedicated ONS storage for trip-event capture.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CBMain_ClosePulse","TIMER","Read Only","","Bounded main close command; PRE from elementary/control schematic.","","NORMALIZED — TRANSCRIBE PDF"
"Timer","T_CBMain_Travel","TIMER","Read Only","","Main fail-to-close supervision; PRE from breaker data.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_CBMain_Operations","COUNTER","Read Only","","Counts proven main 52a rising edges.","","NORMALIZED — TRANSCRIBE PDF"
"Counter","C_ProtectiveTrips","COUNTER","Read Only","","Counts false-to-true TRIP_Any events; journal remains record.","","NORMALIZED — TRANSCRIBE PDF"
